rank,wavelength_nm,period_nm,depth_nm,duty,scalar_eta1,rcwa_TE,rcwa_TM,rcwa_unpol
1,450.0,438.21,399.86,0.5,0.39268378267412407,0.19042592386434332,0.1414103277870932,0.16591812582571824
1,532.0,438.21,399.86,0.5,0.3461183832955512,0.04778139560236487,0.08781835048667261,0.06779987304451873
1,635.0,438.21,399.86,0.5,0.2823572067070251,0.02726474000634256,0.008696155731027992,0.017980447868685277
2,450.0,437.99,399.07,0.5,0.3925705684390034,0.19169642931476247,0.14090843814149406,0.16630243372812825
2,532.0,437.99,399.07,0.5,0.3459238548733472,0.04796679479612762,0.08732396558956977,0.0676453801928487
2,635.0,437.99,399.07,0.5,0.2821451239416111,0.02728688405001621,0.008725486087187732,0.018006185068601972
3,450.0,438.04,398.98,0.5,0.39248669723926805,0.19201231659327708,0.14083613687185556,0.16642422673256632
3,532.0,438.04,398.98,0.5,0.3457801148771377,0.04794188523813401,0.08742266228765005,0.06768227376289203
3,635.0,438.04,398.98,0.5,0.281988531620521,0.027307125173683378,0.008729690026899791,0.018018407600291584
4,450.0,438.04,398.96,0.5,0.3924768035348252,0.19205835500312254,0.1408176635399847,0.1664380092715536
4,532.0,438.04,398.96,0.5,0.3457631794789458,0.047943213266330005,0.08741475439434226,0.06767898383033613
4,635.0,438.04,398.96,0.5,0.2819700885977129,0.027307731264432818,0.008730138452459998,0.018018934858446408
5,450.0,438.04,398.9,0.5,0.39244710023450846,0.19219645550569342,0.14076226896359673,0.16647936223464507
5,532.0,438.04,398.9,0.5,0.34571236131672406,0.04794721822744425,0.08739101043514927,0.06766911433129676
5,635.0,438.04,398.9,0.5,0.28191475487370965,0.02730955096815667,0.008731484484415264,0.01802051772628597
