depth_nm,scalar_eta1,rcwa_TE,rcwa_TM,rcwa_unpol
50,0.008741350808894951,0.023328162929278175,0.00754359779997129,0.015435880364624732
100,0.03421125478194647,0.07635679947956507,0.021523618842453317,0.04894020916100919
150,0.07421232971640383,0.12222168657407854,0.03173982636742281,0.07698075647075067
200,0.12529353589712422,0.137829236297286,0.03249591712549824,0.08516257671139212
250,0.18304790997335,0.12364486679873525,0.028190075548618267,0.07591747117367675
300,0.2424927698799904,0.09211784974228812,0.03460959430618279,0.06336372202423546
350,0.29849958912781854,0.06156047541863164,0.06078031535801217,0.061170395388321905
400,0.346236453628031,0.047779341864738804,0.08781477841589899,0.0677970601403189
450,0.38158492867514676,0.05470087157325597,0.09442774763247588,0.07456430960286592
500,0.4014953714418864,0.07432747471019657,0.07206055812554238,0.07319401641786948
