rank,wavelength_nm,period_nm,depth_nm,duty,scalar_eta1,rcwa_TE,rcwa_TM,rcwa_unpol
1,450.0,448.13,199.53,0.42448,0.15758514830858641,0.3472298611772505,0.08528621341287208,0.2162580372950613
1,532.0,448.13,199.53,0.42448,0.11821551102907357,0.16293587677125876,0.029103349032961256,0.09601961290211
1,635.0,448.13,199.53,0.42448,0.08594723959690817,0.0515292071686696,0.015275871847793523,0.03340253950823156
2,450.0,448.13,199.53,0.42448,0.15758514830858641,0.3472298611772505,0.08528621341287208,0.2162580372950613
2,532.0,448.13,199.53,0.42448,0.11821551102907357,0.16293587677125876,0.029103349032961256,0.09601961290211
2,635.0,448.13,199.53,0.42448,0.08594723959690817,0.0515292071686696,0.015275871847793523,0.03340253950823156
3,450.0,448.13,199.52,0.42447,0.15756959935333276,0.34722769504420037,0.0852771379870188,0.21625241651560959
3,532.0,448.13,199.52,0.42447,0.1182032694511693,0.16293442395483884,0.029103996184632167,0.0960192100697355
3,635.0,448.13,199.52,0.42447,0.0859380302022679,0.05152879824160079,0.015275875976975394,0.03340233710928809
4,450.0,448.13,199.53,0.42448,0.15758514830858641,0.3472298611772505,0.08528621341287208,0.2162580372950613
4,532.0,448.13,199.53,0.42448,0.11821551102907357,0.16293587677125876,0.029103349032961256,0.09601961290211
4,635.0,448.13,199.53,0.42448,0.08594723959690817,0.0515292071686696,0.015275871847793523,0.03340253950823156
5,450.0,448.13,199.53,0.42447,0.157582753940097,0.3472298611772505,0.08528621341287208,0.2162580372950613
5,532.0,448.13,199.53,0.42447,0.11821371484778616,0.16293587677125876,0.029103349032961256,0.09601961290211
5,635.0,448.13,199.53,0.42447,0.08594593370378022,0.0515292071686696,0.015275871847793523,0.03340253950823156
