n,period_nm,depth_nm,duty,wavelength_nm,pol,rcwa_eta1,interpolated_eta1,abs_error
1.4888,433.22,186.22,0.2012,635,TE,0.009763,0.009330,0.000432
1.4912,439.30,118.77,0.6449,635,TE,0.020263,0.020266,0.000003
1.4896,441.98,337.18,0.4212,635,TE,0.032920,0.032638,0.000282
1.4923,430.91,240.88,0.3185,450,TE,0.380583,0.377232,0.003350
1.4997,448.64,102.96,0.4901,635,TE,0.030186,0.030041,0.000144
1.4965,443.75,185.59,0.5910,532,TM,0.026047,0.025794,0.000253
1.4975,431.32,87.62,0.4491,450,TE,0.116776,0.116748,0.000028
1.4817,439.63,314.42,0.2897,450,TM,0.075530,0.079572,0.004042
1.4906,445.01,239.74,0.5987,532,TM,0.037871,0.038012,0.000141
1.4862,439.35,364.23,0.3638,450,TE,0.316098,0.314972,0.001126
1.4835,445.33,107.22,0.5355,635,TM,0.011298,0.011238,0.000060
1.4983,440.38,66.83,0.4370,450,TM,0.001328,0.001379,0.000051
1.4972,435.84,188.50,0.6795,450,TM,0.060646,0.060496,0.000149
1.4831,446.33,275.86,0.6712,450,TM,0.098354,0.098276,0.000078
1.4868,430.60,131.80,0.4277,532,TE,0.098244,0.097684,0.000560
1.4925,442.62,155.26,0.3715,635,TE,0.034901,0.034635,0.000266
1.4855,442.32,285.99,0.6523,635,TE,0.025124,0.025136,0.000011
1.4851,433.82,151.03,0.2464,450,TE,0.206127,0.205723,0.000404
1.4985,440.96,178.11,0.7014,635,TE,0.026733,0.026875,0.000141
1.4928,436.26,35.77,0.5418,635,TM,0.001546,0.001532,0.000014
1.4855,439.85,173.08,0.6151,532,TE,0.110687,0.110034,0.000653
1.4996,430.05,330.27,0.7908,532,TM,0.065459,0.064404,0.001054
1.4998,437.77,31.62,0.6154,532,TE,0.008311,0.008345,0.000034
1.4924,432.46,318.25,0.4254,635,TE,0.022455,0.021904,0.000550
1.4993,446.77,46.43,0.7681,635,TM,0.002223,0.002225,0.000002
1.4988,444.64,366.19,0.5784,532,TM,0.133183,0.131362,0.001820
1.4981,432.70,36.54,0.5928,635,TM,0.001474,0.001454,0.000019
1.4968,439.73,23.51,0.5565,635,TE,0.001631,0.001634,0.000003
1.4872,442.70,245.06,0.3214,450,TM,0.063049,0.062009,0.001040
1.4974,435.42,22.03,0.6603,532,TE,0.003547,0.003594,0.000048
1.4992,430.47,198.39,0.7903,635,TE,0.012337,0.012154,0.000183
1.4968,444.37,91.00,0.6262,532,TM,0.016257,0.016125,0.000132
1.4950,432.50,50.42,0.3098,532,TM,0.004158,0.004202,0.000044
1.4807,439.35,167.32,0.7691,532,TM,0.010968,0.011020,0.000051
1.4948,439.88,154.58,0.5847,635,TM,0.017916,0.017808,0.000108
1.4826,430.25,220.35,0.7678,635,TM,0.007283,0.006697,0.000586
1.4979,434.09,71.51,0.2576,450,TM,0.003359,0.003326,0.000033
1.4904,438.55,220.32,0.3243,635,TM,0.005714,0.005779,0.000065
1.4956,437.56,235.62,0.7289,635,TM,0.019585,0.019321,0.000265
1.4818,430.79,176.97,0.5718,450,TE,0.271117,0.268288,0.002829
1.4854,438.83,297.39,0.5783,635,TE,0.025062,0.024835,0.000226
1.4821,443.72,242.88,0.7120,450,TE,0.144874,0.145478,0.000604
1.4864,447.10,111.87,0.6269,532,TE,0.075127,0.074594,0.000533
1.4801,434.50,282.84,0.3954,450,TM,0.127349,0.126045,0.001304
1.4928,438.44,310.71,0.5020,450,TE,0.341304,0.341995,0.000691
1.4990,432.24,370.19,0.2625,532,TE,0.059273,0.058861,0.000412
1.4919,440.14,247.84,0.2988,450,TE,0.359417,0.357616,0.001801
1.4806,436.78,24.62,0.4063,532,TE,0.005102,0.005089,0.000013

mean_abs_error,0.000555
max_abs_error,0.004042
