seed,pmma,samples,epochs,batch,lr,iterations,best_val_MSE,R2_MTF@40cyc/mm,R2_Transmission,R2_ChromSpread(deg),R2_T@FOV
0,1,100000,150,512,0.001,29400,0.000199,0.92763,0.99995,0.99991,0.99995
0,1,150000,250,512,0.001,73250,0.000000,0.99992,1.00000,1.00000,1.00000
1,1,150000,250,512,0.001,73250,0.000001,0.99961,1.00000,1.00000,1.00000
2,1,150000,250,512,0.001,73250,0.000000,0.99997,1.00000,1.00000,1.00000
3,1,150000,250,512,0.001,73250,0.000002,0.99926,1.00000,1.00000,1.00000
4,1,150000,250,512,0.001,73250,0.000002,0.99928,1.00000,1.00000,1.00000
5,1,150000,250,512,0.001,73250,0.000002,0.99940,1.00000,1.00000,1.00000
6,1,150000,250,512,0.001,73250,0.000003,0.99882,1.00000,1.00000,1.00000
7,1,150000,250,512,0.001,73250,0.000000,0.99987,1.00000,1.00000,1.00000
8,1,150000,250,512,0.001,73250,0.000000,0.99996,1.00000,1.00000,1.00000
9,1,150000,250,512,0.001,73250,0.000000,0.99997,1.00000,1.00000,1.00000
10,1,150000,250,512,0.001,73250,0.000000,0.99994,1.00000,1.00000,1.00000
11,1,150000,250,512,0.001,73250,0.000002,0.99896,1.00000,1.00000,1.00000
12,1,150000,250,512,0.001,73250,0.000000,0.99995,1.00000,1.00000,1.00000
13,1,150000,250,512,0.001,73250,0.000002,0.99912,1.00000,1.00000,1.00000
14,1,150000,250,512,0.001,73250,0.000002,0.99905,1.00000,1.00000,1.00000
15,1,150000,250,512,0.001,73250,0.000000,0.99994,1.00000,1.00000,1.00000
16,1,150000,250,512,0.001,73250,0.000000,0.99991,1.00000,1.00000,1.00000
17,1,150000,250,512,0.001,73250,0.000002,0.99912,1.00000,1.00000,1.00000
18,1,150000,250,512,0.001,73250,0.000003,0.99882,1.00000,0.99999,1.00000
19,1,150000,250,512,0.001,73250,0.000001,0.99983,1.00000,1.00000,1.00000
20,1,150000,250,512,0.001,73250,0.000002,0.99902,1.00000,1.00000,1.00000
21,1,150000,250,512,0.001,73250,0.000000,0.99992,1.00000,1.00000,1.00000
22,1,150000,250,512,0.001,73250,0.000002,0.99912,1.00000,1.00000,1.00000
23,1,150000,250,512,0.001,73250,0.000000,0.99995,1.00000,1.00000,1.00000
24,1,150000,250,512,0.001,73250,0.000002,0.99894,1.00000,1.00000,1.00000
25,1,150000,250,512,0.001,73250,0.000002,0.99932,1.00000,1.00000,1.00000
26,1,150000,250,512,0.001,73250,0.000000,0.99994,1.00000,1.00000,1.00000
27,1,150000,250,512,0.001,73250,0.000001,0.99956,1.00000,1.00000,1.00000
28,1,150000,250,512,0.001,73250,0.000001,0.99951,1.00000,1.00000,1.00000
29,1,150000,250,512,0.001,73250,0.000003,0.99905,1.00000,1.00000,1.00000
30,1,150000,250,512,0.001,73250,0.000000,0.99986,1.00000,1.00000,1.00000
31,1,150000,250,512,0.001,73250,0.000002,0.99920,1.00000,1.00000,1.00000
32,1,150000,250,512,0.001,73250,0.000002,0.99917,1.00000,1.00000,1.00000
33,1,150000,250,512,0.001,73250,0.000000,0.99996,1.00000,1.00000,1.00000
34,1,150000,250,512,0.001,73250,0.000002,0.99901,1.00000,1.00000,1.00000
35,1,150000,250,512,0.001,73250,0.000000,0.99994,1.00000,1.00000,1.00000
36,1,150000,250,512,0.001,73250,0.000002,0.99930,1.00000,1.00000,1.00000
37,1,150000,250,512,0.001,73250,0.000004,0.99865,1.00000,1.00000,1.00000
38,1,150000,250,512,0.001,73250,0.000003,0.99905,1.00000,0.99999,1.00000
39,1,150000,250,512,0.001,73250,0.000003,0.99911,1.00000,1.00000,1.00000
