seed,pmma,samples,epochs,batch,lr,iterations,best_val_MSE,R2_MTF@40cyc/mm,R2_T_FOM,R2_PupilWalkoff(mm),R2_T@FOV
0,1,8000,15,512,0.001,240,0.001150,0.44488,0.22699,0.87704,0.22460
0,1,150000,250,512,0.001,73250,0.000000,0.99987,0.99977,1.00000,0.99978
1,1,150000,250,512,0.001,73250,0.000000,0.99986,0.99977,1.00000,0.99978
2,1,150000,250,512,0.001,73250,0.000000,0.99980,0.99973,1.00000,0.99974
3,1,150000,250,512,0.001,73250,0.000000,0.99980,0.99974,1.00000,0.99975
4,1,150000,250,512,0.001,73250,0.000000,0.99986,0.99977,1.00000,0.99978
5,1,150000,250,512,0.001,73250,0.000000,0.99977,0.99973,1.00000,0.99974
6,1,150000,250,512,0.001,73250,0.000000,0.99985,0.99976,1.00000,0.99977
7,1,150000,250,512,0.001,73250,0.000000,0.99984,0.99973,1.00000,0.99975
8,1,150000,250,512,0.001,73250,0.000000,0.99977,0.99966,1.00000,0.99967
9,1,150000,250,512,0.001,73250,0.000000,0.99981,0.99973,1.00000,0.99974
10,1,150000,250,512,0.001,73250,0.000000,0.99975,0.99966,1.00000,0.99969
11,1,150000,250,512,0.001,73250,0.000000,0.99979,0.99974,1.00000,0.99975
12,1,150000,250,512,0.001,73250,0.000000,0.99982,0.99973,1.00000,0.99974
13,1,150000,250,512,0.001,73250,0.000000,0.99968,0.99966,1.00000,0.99967
14,1,150000,250,512,0.001,73250,0.000000,0.99977,0.99972,1.00000,0.99974
15,1,150000,250,512,0.001,73250,0.000000,0.99983,0.99976,1.00000,0.99977
16,1,150000,250,512,0.001,73250,0.000000,0.99972,0.99967,1.00000,0.99968
17,1,150000,250,512,0.001,73250,0.000000,0.99974,0.99966,1.00000,0.99968
18,1,150000,250,512,0.001,73250,0.000000,0.99978,0.99969,1.00000,0.99971
19,1,150000,250,512,0.001,73250,0.000000,0.99976,0.99971,1.00000,0.99972
20,1,150000,250,512,0.001,73250,0.000000,0.99977,0.99968,1.00000,0.99970
21,1,150000,250,512,0.001,73250,0.000000,0.99973,0.99967,1.00000,0.99970
22,1,150000,250,512,0.001,73250,0.000000,0.99979,0.99973,1.00000,0.99974
23,1,150000,250,512,0.001,73250,0.000000,0.99980,0.99972,1.00000,0.99974
