seed,decoder,samples,epochs,batch,lr,iterations,best_val_specMSE
0,physics,100000,300,256,0.001,117300,0.001239
1,physics,100000,300,256,0.001,117300,0.001595
2,physics,100000,300,256,0.001,117300,0.001081
3,physics,100000,300,256,0.001,117300,0.001304
4,physics,100000,300,256,0.001,117300,0.001083
0,surrogate,150000,400,256,0.001,234400,0.001216
1,surrogate,150000,400,256,0.001,234400,0.001213
2,surrogate,150000,400,256,0.001,234400,0.001053
3,surrogate,150000,400,256,0.001,234400,0.001605
4,surrogate,150000,400,256,0.001,234400,0.001051
0,physics,150000,400,256,0.001,234400,0.001253
5,surrogate,150000,400,256,0.001,234400,0.001234
6,surrogate,150000,400,256,0.001,234400,0.001418
7,surrogate,150000,400,256,0.001,234400,0.001472
8,surrogate,150000,400,256,0.001,234400,0.001300
9,surrogate,150000,400,256,0.001,234400,0.001035
10,surrogate,150000,400,256,0.001,234400,0.001271
11,surrogate,150000,400,256,0.001,234400,0.001074
12,surrogate,150000,400,256,0.001,234400,0.001044
13,surrogate,150000,400,256,0.001,234400,0.001135
14,surrogate,150000,400,256,0.001,234400,0.001089
15,surrogate,150000,400,256,0.001,234400,0.001255
16,surrogate,150000,400,256,0.001,234400,0.001291
17,surrogate,150000,400,256,0.001,234400,0.001386
18,surrogate,150000,400,256,0.001,234400,0.001495
19,surrogate,150000,400,256,0.001,234400,0.001172
20,surrogate,150000,400,256,0.001,234400,0.001117
21,surrogate,150000,400,256,0.001,234400,0.001216
22,surrogate,150000,400,256,0.001,234400,0.001195
23,surrogate,150000,400,256,0.001,234400,0.001232
24,surrogate,150000,400,256,0.001,234400,0.001229
25,surrogate,150000,400,256,0.001,234400,0.001064
26,surrogate,150000,400,256,0.001,234400,0.001057
27,surrogate,150000,400,256,0.001,234400,0.001253
28,surrogate,150000,400,256,0.001,234400,0.001218
29,surrogate,150000,400,256,0.001,234400,0.001067
30,surrogate,150000,400,256,0.001,234400,0.001289
31,surrogate,150000,400,256,0.001,234400,0.001396
32,surrogate,150000,400,256,0.001,234400,0.001507
33,surrogate,150000,400,256,0.001,234400,0.000984
