seed,decoder,samples,epochs,batch,lr,iterations,best_val_specMSE
0,surrogate,150000,400,256,0.001,234400,0.000415
1,surrogate,150000,400,256,0.001,234400,0.000743
2,surrogate,150000,400,256,0.001,234400,0.000491
3,surrogate,150000,400,256,0.001,234400,0.000494
4,surrogate,150000,400,256,0.001,234400,0.000506
0,physics,150000,400,256,0.001,234400,0.000007
1,physics,150000,400,256,0.001,234400,0.000007
2,physics,150000,400,256,0.001,234400,0.000007
3,physics,150000,400,256,0.001,234400,0.000007
4,physics,150000,400,256,0.001,234400,0.000007
5,surrogate,150000,400,256,0.001,234400,0.000515
6,surrogate,150000,400,256,0.001,234400,0.000395
7,surrogate,150000,400,256,0.001,234400,0.000562
8,surrogate,150000,400,256,0.001,234400,0.000474
9,surrogate,150000,400,256,0.001,234400,0.000431
10,surrogate,150000,400,256,0.001,234400,0.000470
11,surrogate,150000,400,256,0.001,234400,0.000584
12,surrogate,150000,400,256,0.001,234400,0.000555
13,surrogate,150000,400,256,0.001,234400,0.000583
14,surrogate,150000,400,256,0.001,234400,0.000415
15,surrogate,150000,400,256,0.001,234400,0.000571
16,surrogate,150000,400,256,0.001,234400,0.000430
17,surrogate,150000,400,256,0.001,234400,0.000536
18,surrogate,150000,400,256,0.001,234400,0.000391
19,surrogate,150000,400,256,0.001,234400,0.000760
20,surrogate,150000,400,256,0.001,234400,0.000575
21,surrogate,150000,400,256,0.001,234400,0.000496
22,surrogate,150000,400,256,0.001,234400,0.000457
23,surrogate,150000,400,256,0.001,234400,0.000437
